BLUEPRINT_ID	Group	Sub-group	Sex	Cell type	Disease	URL
S00TWZ11	venous blood	immature conventional dendritic cell - GM-CSF_IL4_T=6_days	Male	immature conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/B272/immature_conventional_dendritic_cell_-_GM-CSF_IL4_T_6_days/RNA-Seq/MPIMG/S00TWZ11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00U0L11	venous blood	mature conventional dendritic cell - GM-CSF_IL4_T=6_days_R848_T=24hrs	Male	mature conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/B272/mature_conventional_dendritic_cell_-_GM-CSF_IL4_T_6_days_R848_T_24hrs/RNA-Seq/MPIMG/S00U0L11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01GKT11	venous blood	osteoclast	Male	osteoclast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/BC2_0/osteoclast/RNA-Seq/MPIMG/S01GKT11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01GMP11	venous blood	osteoclast	Male	osteoclast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/BC2_10/osteoclast/RNA-Seq/MPIMG/S01GMP11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
C000R7B4	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C000R7/mature_neutrophil/RNA-Seq/MPIMG/C000R7B4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C000S5B1	venous blood	CD14-positive, CD16-negative classical monocyte	Male	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C000S5/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C000S5B1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C000S5B4	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C000S5/mature_neutrophil/RNA-Seq/MPIMG/C000S5B4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0010KB1	venous blood	CD14-positive, CD16-negative classical monocyte	Female	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0010K/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C0010KB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0010KB4	venous blood	mature neutrophil	Female	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0010K/mature_neutrophil/RNA-Seq/MPIMG/C0010KB4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0011IB1	venous blood	CD14-positive, CD16-negative classical monocyte	Female	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0011I/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C0011IB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0011IB5	venous blood	mature neutrophil	Female	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C0011I/mature_neutrophil/RNA-Seq/MPIMG/C0011IB5.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001FRB1	venous blood	CD4-positive, alpha-beta T cell	Female	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001FR/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/C001FRB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001FRB3	venous blood	central memory CD4-positive, alpha-beta T cell	Female	central memory CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001FR/central_memory_CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/C001FRB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001FRB4	venous blood	effector memory CD4-positive, alpha-beta T cell	Female	effector memory CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001FR/effector_memory_CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/C001FRB4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001FRB2	venous blood	regulatory T cell	Female	regulatory T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001FR/regulatory_T_cell/RNA-Seq/MPIMG/C001FRB2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001HNB2	venous blood	central memory CD8-positive, alpha-beta T cell	Male	central memory CD8-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001HN/central_memory_CD8-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/C001HNB2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001HNB3	venous blood	effector memory CD8-positive, alpha-beta T cell	Male	effector memory CD8-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001HN/effector_memory_CD8-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/C001HNB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001MDB1	venous blood	cytotoxic CD56-dim natural killer cell	Female	cytotoxic CD56-dim natural killer cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001MD/cytotoxic_CD56-dim_natural_killer_cell/RNA-Seq/MPIMG/C001MDB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001NBB1	venous blood	CD38-negative naive B cell	Female	CD38-negative naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001NB/CD38-negative_naive_B_cell/RNA-Seq/MPIMG/C001NBB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001NBB4	venous blood	class switched memory B cell	Female	class switched memory B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001NB/class_switched_memory_B_cell/RNA-Seq/MPIMG/C001NBB4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001NBB3	venous blood	memory B cell	Female	memory B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001NB/memory_B_cell/RNA-Seq/MPIMG/C001NBB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001R3B2	venous blood	cytotoxic CD56-dim natural killer cell	Male	cytotoxic CD56-dim natural killer cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001R3/cytotoxic_CD56-dim_natural_killer_cell/RNA-Seq/MPIMG/C001R3B2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001UYB4	venous blood	CD14-positive, CD16-negative classical monocyte	Male	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001UY/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C001UYB4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001UYB1	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C001UY/mature_neutrophil/RNA-Seq/MPIMG/C001UYB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C004SQ12	venous blood	CD14-positive, CD16-negative classical monocyte	Female	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C004SQ/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C004SQ12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C005VG11	venous blood	macrophage	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C005VG/macrophage/RNA-Seq/MPIMG/C005VG11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C12012RP	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C12012/mature_neutrophil/RNA-Seq/MPIMG/C12012RP.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S01TDS11	venous blood	class switched memory B cell	Male	class switched memory B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/csMBC_pool_11/class_switched_memory_B_cell/RNA-Seq/MPIMG/S01TDS11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0145X11	venous blood	T-cell Prolymphocytic Leukemia	Female	NA	T-cell Prolymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/MS49/T-cell_Prolymphocytic_Leukemia/RNA-Seq/MPIMG/S0145X11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00CTZ11	venous blood	macrophage - T=6days B-glucan	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031318490130/macrophage_-_T_6days_B-glucan/RNA-Seq/NCMLS/S00CTZ11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00CS011	venous blood	macrophage - T=6days LPS	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031318490130/macrophage_-_T_6days_LPS/RNA-Seq/NCMLS/S00CS011.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00CR211	venous blood	macrophage - T=6days untreated	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031318490130/macrophage_-_T_6days_untreated/RNA-Seq/NCMLS/S00CR211.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00CQ411	venous blood	monocyte - T=0days	Male	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031318490130/monocyte_-_T_0days/RNA-Seq/NCMLS/S00CQ411.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00C0J11	venous blood	macrophage - T=6days B-glucan	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031319896021/macrophage_-_T_6days_B-glucan/RNA-Seq/NCMLS/S00C0J11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00BYT11	venous blood	macrophage - T=6days LPS	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031319896021/macrophage_-_T_6days_LPS/RNA-Seq/NCMLS/S00BYT11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00BXV11	venous blood	macrophage - T=6days untreated	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031319896021/macrophage_-_T_6days_untreated/RNA-Seq/NCMLS/S00BXV11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00BWX11	venous blood	monocyte - T=0days	Female	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031319896021/monocyte_-_T_0days/RNA-Seq/NCMLS/S00BWX11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00JS911	venous blood	macrophage - T=6days B-glucan	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406634921/macrophage_-_T_6days_B-glucan/RNA-Seq/NCMLS/S00JS911.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00JRB11	venous blood	macrophage - T=6days LPS	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406634921/macrophage_-_T_6days_LPS/RNA-Seq/NCMLS/S00JRB11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00JQD11	venous blood	macrophage - T=6days untreated	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406634921/macrophage_-_T_6days_untreated/RNA-Seq/NCMLS/S00JQD11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00JPF11	venous blood	monocyte - T=0days	Female	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406634921/monocyte_-_T_0days/RNA-Seq/NCMLS/S00JPF11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00HTF11	venous blood	macrophage - T=6days B-glucan	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406635321/macrophage_-_T_6days_B-glucan/RNA-Seq/NCMLS/S00HTF11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00HSH11	venous blood	macrophage - T=6days LPS	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406635321/macrophage_-_T_6days_LPS/RNA-Seq/NCMLS/S00HSH11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00HRJ11	venous blood	macrophage - T=6days untreated	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406635321/macrophage_-_T_6days_untreated/RNA-Seq/NCMLS/S00HRJ11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00HQL11	venous blood	monocyte - T=0days	Male	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031406635321/monocyte_-_T_0days/RNA-Seq/NCMLS/S00HQL11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00UCY11	venous blood	monocyte - None	Female	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031407013121/monocyte_-_None/RNA-Seq/NCMLS/S00UCY11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00UDW11	venous blood	monocyte - None	Female	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031407013121/monocyte_-_None/RNA-Seq/NCMLS/S00UDW11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00UEU11	venous blood	monocyte - None	Male	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031407013221/monocyte_-_None/RNA-Seq/NCMLS/S00UEU11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00UFS11	venous blood	monocyte - None	Male	monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/N00031407013221/monocyte_-_None/RNA-Seq/NCMLS/S00UFS11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S019HQ11	venous blood	naive B cell	Male	naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/NC11_35/naive_B_cell/RNA-Seq/MPIMG/S019HQ11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S019KK11	venous blood	naive B cell	Female	naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/NC15_63/naive_B_cell/RNA-Seq/MPIMG/S019KK11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S019MG11	venous blood	class switched memory B cell	Female	class switched memory B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/NC15_67/class_switched_memory_B_cell/RNA-Seq/MPIMG/S019MG11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S019JM11	venous blood	naive B cell	Female	naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/NC15_67/naive_B_cell/RNA-Seq/MPIMG/S019JM11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00K5EB1	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB100713/mature_neutrophil/RNA-Seq/MPIMG/S00K5EB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TC1B1	venous blood	mature neutrophil - G-CSF/Dex. Treatment (16-20 hrs)	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB100713/mature_neutrophil_-_G-CSF_Dex._Treatment_16-20_hrs/RNA-Seq/MPIMG/S00TC1B1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00FWHB1	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB130513/mature_neutrophil/RNA-Seq/MPIMG/S00FWHB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00FXFB1	venous blood	mature neutrophil - G-CSF/Dex. Treatment (16-20 hrs)	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB130513/mature_neutrophil_-_G-CSF_Dex._Treatment_16-20_hrs/RNA-Seq/MPIMG/S00FXFB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00K7AB1	venous blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB270313/mature_neutrophil/RNA-Seq/MPIMG/S00K7AB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00K88B1	venous blood	mature neutrophil - G-CSF/Dex. Treatment (16-20 hrs)	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/PB270313/mature_neutrophil_-_G-CSF_Dex._Treatment_16-20_hrs/RNA-Seq/MPIMG/S00K88B1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S019NE11	venous blood	unswitched memory B cell	Male	unswitched memory B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/Pool_11/unswitched_memory_B_cell/RNA-Seq/MPIMG/S019NE11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00Q7N11	venous blood	Acute Myeloid Leukemia - CTR	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/pz_298/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S00Q7N11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00Q8L11	venous blood	Acute Myeloid Leukemia - SAHA	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/pz_298/Acute_Myeloid_Leukemia_-_SAHA/RNA-Seq/MPIMG/S00Q8L11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S001MJ12	venous blood	inflammatory macrophage	Male	inflammatory macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001MJ/inflammatory_macrophage/RNA-Seq/MPIMG/S001MJ12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001S714	venous blood	inflammatory macrophage	Female	inflammatory macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001S7/inflammatory_macrophage/RNA-Seq/MPIMG/S001S714.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001S712	venous blood	macrophage	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S001S7/macrophage/RNA-Seq/MPIMG/S001S712.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0022I14	venous blood	inflammatory macrophage	Female	inflammatory macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S0022I/inflammatory_macrophage/RNA-Seq/MPIMG/S0022I14.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0022I12	venous blood	macrophage	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S0022I/macrophage/RNA-Seq/MPIMG/S0022I12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S002EV11	venous blood	CD4-positive, alpha-beta T cell	Male	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S002EV/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S002EV11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0039012	venous blood	macrophage	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00390/macrophage/RNA-Seq/MPIMG/S0039012.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0041C11	venous blood	CD4-positive, alpha-beta T cell	Female	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S0041C/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S0041C11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S004M711	venous blood	CD4-positive, alpha-beta T cell	Female	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S004M7/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S004M711.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0062212	venous blood	alternatively activated macrophage	Male	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00622/alternatively_activated_macrophage/RNA-Seq/MPIMG/S0062212.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S006VI12	venous blood	alternatively activated macrophage	Male	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S006VI/alternatively_activated_macrophage/RNA-Seq/MPIMG/S006VI12.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S007DD11	venous blood	CD4-positive, alpha-beta T cell	Female	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S007DD/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S007DD11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S007G711	venous blood	CD4-positive, alpha-beta T cell	Male	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S007G7/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S007G711.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S008H111	venous blood	CD4-positive, alpha-beta T cell	Male	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S008H1/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S008H111.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S009W411	venous blood	CD4-positive, alpha-beta T cell	Female	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S009W4/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S009W411.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00BS412	venous blood	alternatively activated macrophage	Female	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00BS4/alternatively_activated_macrophage/RNA-Seq/MPIMG/S00BS412.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00FTN11	venous blood	alternatively activated macrophage	Female	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00FTN/alternatively_activated_macrophage/RNA-Seq/MPIMG/S00FTN11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00GRNH5	venous blood	mature neutrophil	Female	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00GRN/mature_neutrophil/RNA-Seq/MPIMG/S00GRNH5.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00H6O12	venous blood	inflammatory macrophage	Male	inflammatory macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00H6O/inflammatory_macrophage/RNA-Seq/MPIMG/S00H6O12.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00J8C11	venous blood	alternatively activated macrophage	Male	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00J8C/alternatively_activated_macrophage/RNA-Seq/MPIMG/S00J8C11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00QKY11	venous blood	mature eosinophil	Male	mature eosinophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00QKY/mature_eosinophil/RNA-Seq/MPIMG/S00QKY11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00UJKB1	venous blood	adult endothelial progenitor cell	Female	adult endothelial progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00UJK/adult_endothelial_progenitor_cell/RNA-Seq/MPIMG/S00UJKB1.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00V6511	venous blood	mature eosinophil	Female	mature eosinophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00V65/mature_eosinophil/RNA-Seq/MPIMG/S00V6511.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00W8Y11	venous blood	mesenchymal stem cell of the bone marrow	Unknown	mesenchymal stem cell of the bone marrow	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S00W8Y/mesenchymal_stem_cell_of_the_bone_marrow/RNA-Seq/MPIMG/S00W8Y11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
